model,question_var,persona_k,valid_answers,total_personas,jsd
llama_tuned_8b,op4trust,2,266,266,0.0511127513717333
llama_tuned_8b,tr3cgmnz,2,266,266,0.2076957592398676
llama_tuned_8b,tr3bcraz,2,266,266,0.2106102515102327
llama_tuned_8b,qfnrincr,2,266,266,0.1923226080686468
llama_tuned_8b,q4samesm,2,266,266,0.1975766579822785
llama_tuned_8b,op7gdevo,2,266,266,0.345103635422417
llama_tuned_8b,q7wwhhx,2,266,266,0.4132183255728345
llama_tuned_8b,q7jbmmcc,2,266,266,0.316788021824361
llama_tuned_8b,q7mgcc,2,266,266,0.441350583804271
llama_tuned_8b,q5gveqaa,2,266,266,0.4158605125751111
llama_tuned_8b,opincdif,2,266,266,0.4294892557020136
llama_tuned_8b,opnucpol,2,266,266,0.4395292879695651
llama_tuned_8b,stalllf,2,266,266,0.2705145016384972
llama_tuned_8b,nofutr,2,266,266,0.1356472930858966
llama_tuned_8b,sfmhdprs,2,266,266,0.1596502856245087
llama_tuned_8b,op5happz,2,266,266,0.2141294974905153
llama_tuned_8b,opnbmtcn,2,266,266,0.1349099641677241
llama_tuned_8b,wllive,2,266,266,0.0514972973061588
llama_tuned_8b,mempltgp,2,266,266,0.0867439375246128
llama_tuned_8b,op4trust,8,266,266,0.052059990185128
llama_tuned_8b,tr3cgmnz,8,266,266,0.1987514741650594
llama_tuned_8b,tr3bcraz,8,266,266,0.1687368756543508
llama_tuned_8b,qfnrincr,8,266,266,0.181689651278743
llama_tuned_8b,q4samesm,8,266,266,0.2282565455746046
llama_tuned_8b,op7gdevo,8,266,266,0.3375189041968014
llama_tuned_8b,q7wwhhx,8,266,266,0.3729897939039299
llama_tuned_8b,q7jbmmcc,8,266,266,0.3275802464005219
llama_tuned_8b,q7mgcc,8,266,266,0.4905948056389801
llama_tuned_8b,q5gveqaa,8,266,266,0.4603072315945751
llama_tuned_8b,opincdif,8,266,266,0.4908298199268451
llama_tuned_8b,opnucpol,8,266,266,0.4086008571919745
llama_tuned_8b,stalllf,8,266,266,0.2597485871917582
llama_tuned_8b,nofutr,8,266,266,0.1366352380012057
llama_tuned_8b,sfmhdprs,8,266,266,0.19995110074305
llama_tuned_8b,op5happz,8,266,266,0.3460131612075695
llama_tuned_8b,opnbmtcn,8,266,266,0.1632855879973087
llama_tuned_8b,wllive,8,266,266,0.0347996084265336
llama_tuned_8b,mempltgp,8,266,266,0.0423002410153975
llama_tuned_8b,op4trust,16,266,266,0.0722172391162404
llama_tuned_8b,tr3cgmnz,16,266,266,0.1621868306088893
llama_tuned_8b,tr3bcraz,16,266,266,0.1665546388976401
llama_tuned_8b,qfnrincr,16,266,266,0.1611369746681379
llama_tuned_8b,q4samesm,16,266,266,0.1948060185292637
llama_tuned_8b,op7gdevo,16,266,266,0.2883489872743291
llama_tuned_8b,q7wwhhx,16,266,266,0.3429436535665248
llama_tuned_8b,q7jbmmcc,16,266,266,0.3141366562533036
llama_tuned_8b,q7mgcc,16,266,266,0.4797536555363976
llama_tuned_8b,q5gveqaa,16,266,266,0.4394769422400948
llama_tuned_8b,opincdif,16,266,266,0.4731969829860529
llama_tuned_8b,opnucpol,16,266,266,0.4622887502072043
llama_tuned_8b,stalllf,16,266,266,0.1463759471072517
llama_tuned_8b,nofutr,16,266,266,0.217982960722594
llama_tuned_8b,sfmhdprs,16,266,266,0.130826058626609
llama_tuned_8b,op5happz,16,266,266,0.1558460032929213
llama_tuned_8b,opnbmtcn,16,266,266,0.1764416293083898
llama_tuned_8b,wllive,16,266,266,0.0264719967807998
llama_tuned_8b,mempltgp,16,266,266,0.0867439375246128
chatgpt,op4trust,16,266,266,0.1667409504688992
